id,fuente,nombre,organismo,categoria,tipo,estado,ventana,descripcion,monto_min,monto_max,moneda,fecha_apertura,fecha_cierre,url,requisitos,score_geoninos,internacional,verificado,updated_at
SM-barco-de-vapor,catalogo_curado,Premio El Barco de Vapor — Fundación SM,Fundación SM,internacional,editorial,desconocido,sin fecha fija / contacto directo,Premio a un original INÉDITO de literatura infantil/juvenil: funciona como financiamiento + publicación de la obra ganadora (35.000 € brutos). Es literario → el manuscrito debe tener cuerpo narrativo (encaja con 'Pewma y la piedrita viajera'). Anual; bases 2026 publicadas. La vía internacional más concreta con dinero real.,,,EUR,,,https://es.literaturasm.com/premios-sm,"[""obra original inédita"", ""cuerpo narrativo (no solo informativo)""]",60,1,si,2026-07-26
fundacion-la-fuente,catalogo_curado,Fundación La Fuente — patrocinio LIJ,Fundación La Fuente,auspicio_privado,privado,desconocido,sin fecha fija / contacto directo,"Fomento de la lectura. Ofrece patrocinio para proyectos de tiraje corto de literatura infantil/juvenil vía Ley de Donaciones Culturales, y opera Viva Leer Copec. Modelo: patrocinio/canal de distribución, no premio en efectivo. Bases y calendario [VERIFICAR — recurrente]. Consulta directa.",,,CLP,,,https://www.fundacionlafuente.cl/,"[""consulta directa"", ""proyecto de tiraje corto LIJ""]",58,0,no,2026-07-26
premio-compostela,catalogo_curado,"Premio Compostela de Álbumes Ilustrados (Kalandraka, España)",Concello de Santiago + Kalandraka,internacional,internacional,desconocido,"anual: premio anual de álbum, ~mayo",Premio internacional a álbum inédito + edición en 5 lenguas (castellano sirve). 9.000 €. ⚠️ PROHÍBE obra hecha con IA → recordar que nuestras imágenes IA son solo concepto; el arte final humano cumple. Anual ~mayo; verificar próxima edición.,9000,9000,EUR,,,https://www.kalandraka.com/,"[""álbum inédito"", ""texto en lengua ibérica"", ""sin IA""]",58,1,si,2026-07-26
CMP-fondo-cultura,catalogo_curado,Fondo de Cultura CMP (grupo CAP),Compañía Minera del Pacífico — CMP,auspicio_privado,privado,desconocido,sin fecha fija / contacto directo,"Mayor afinidad temática del grupo minero (hierro, desierto de Atacama). Financia expresión artística y patrimonial de organizaciones cercanas a sus operaciones (valles de Copiapó, Huasco, Elqui). 'Patrimonial' puede abarcar patrimonio geológico/minero. [NO VERIFICADO: si financia libros, montos y estado 2026]. Contacto: comunidadeselqui@cmp.cl.",,,CLP,,,https://www.cmp.cl/,"[""organización cercana a operaciones CMP"", ""ángulo patrimonial/cultural""]",55,0,no,2026-07-26
ED-pehuen,catalogo_curado,Pehuén Editores — vía editorial directa,Pehuén Editores,editorial,editorial,desconocido,sin fecha fija / contacto directo,"Histórico, línea infantil con vocación de patrimonio y territorio chileno (afín a geología nacional). Modelo tradicional. Canal de originales [NO VERIFICADO].",,,CLP,,,https://tienda.pehuen.cl/collections/infantil,"[""maqueta/dummy""]",55,0,parcial,2026-07-26
premio-colibri,catalogo_curado,Medalla Colibrí — No ficción infantil (IBBY Chile),IBBY Chile,premio_compra,cultural,desconocido,sin fecha fija / contacto directo,"Premio a obra YA PUBLICADA (meta postpublicación). Categoría 'No ficción infantil'. Sin dinero, pero es la MÁXIMA legitimación ante evaluadores CRA y bibliotecarios → impulsa la compra institucional. Postula la sección nacional / editorial, no el autor directo.",0,0,CLP,,,https://www.ibbychile.cl/premios/medalla-colibri/,"[""obra publicada"", ""categoría no ficción infantil""]",50,0,si,2026-07-26
SNPC-fondo-patrimonio,catalogo_curado,Fondo del Patrimonio Cultural,Servicio Nacional del Patrimonio Cultural (SNPC),edicion,cultural,desconocido,sin fecha fija / contacto directo,"Financia proyectos de difusión, valoración y educación en patrimonio cultural; una publicación de divulgación patrimonial-geológica PODRÍA encajar como producto. Última convocatoria conocida: 2024. Convocatoria 2026 [NO VERIFICADO].",,,CLP,,,https://www.sfgp.gob.cl/fondos/fondo-del-patrimonio-cultural,"[""proyecto de educación/difusión patrimonial""]",50,0,no,2026-07-26
ED-ril,catalogo_curado,RIL Editores — coedición (institución + editorial),RIL Editores,editorial,editorial,desconocido,sin fecha fija / contacto directo,Fuerte en coediciones académicas/universitarias y obras de valor patrimonial. Infantil ilustrado no es su foco [NO VERIFICADO]. Útil si se va por coedición con SERNAGEOMIN. Registrar en Propiedad Intelectual antes; ediciones@rileditores.com.,,,CLP,,,https://rileditores.com/postular/,"[""registro Propiedad Intelectual"", ""modelo coedición""]",50,0,parcial,2026-07-26
ED-sm,catalogo_curado,Ediciones SM Chile — vía editorial directa (plan lector),Ediciones SM,editorial,editorial,desconocido,sin fecha fija / contacto directo,"Grupo grande (El Barco de Vapor), fuerte en plan lector escolar; interesa no-ficción con potencial escolar. Canal formal de originales [NO VERIFICADO]. chile@grupo-sm.com.",,,CLP,,,https://literaturasm.cl/,"[""potencial plan lector escolar""]",50,0,parcial,2026-07-26
EXPLORA-PAR,catalogo_curado,Programa Explora — Proyecto Asociativo Regional (PAR),ANID,divulgacion_ciencia,ciencia,desconocido,sin fecha fija / contacto directo,"Divulgación CTCI territorial vía PAR adjudicados a instituciones, no a autores. Un libro podría ser producto de un PAR aliado, no postulación directa. Montos/plazos 2026 [NO VERIFICADO].",,,CLP,,,https://explora.cl/,"[""alianza con institución ejecutora de un PAR""]",48,0,no,2026-07-26
fundacion-collahuasi,catalogo_curado,Fundación Educacional Collahuasi — coedición/auspicio,Fundación Educacional Collahuasi (minera),auspicio_privado,privado,desconocido,sin fecha fija / contacto directo,Ya editó un libro infantil de tradición oral de Tarapacá → la mayor afinidad editorial del grupo minero. No hay concurso abierto a autores con bases públicas; opera por programas propios/alianzas. Vía: contacto directo para coedición/auspicio. [NO VERIFICADO montos/plazos].,,,CLP,,,https://fundacioncollahuasi.cl/,"[""contacto directo"", ""anclaje regional Tarapacá ayuda""]",47,0,no,2026-07-26
FME-BHP,catalogo_curado,Fundación Minera Escondida (BHP) — donación directa,BHP / Fundación Minera Escondida,auspicio_privado,privado,desconocido,sin fecha fija / contacto directo,"Músculo grande pero afinidad temática baja (foco educativo digital). El concurso +Unidos 2026 cerró (1-jun) y es para organizaciones sociales de Antofagasta, no autores. Vía realista: auspicio/donación directa (donataria Ley 21.440), todo el año, enmarcando el libro como educación/cultura regional.",,5000000,CLP,,,https://fme.cl/contacto/,"[""contacto directo"", ""enmarque educación/cultura regional""]",45,0,parcial,2026-07-26
premio-nami,catalogo_curado,Nami Concours — ilustración (Corea),Nami Island (Corea),internacional,internacional,desconocido,sin fecha fija / contacto directo,Premio mundial de ILUSTRACIÓN de libro infantil (no publica el libro; premia las imágenes). Para el frente de ilustración (del/la ilustrador/a). Grand Prix USD 10.000. Sin cuota. Cerró oct-2025 → apuntar a 2027.,2000,10000,USD,,,https://www.namiconcours.com/,"[""porfolio de ilustración"", ""mundial""]",45,1,si,2026-07-26
CMN-carta,catalogo_curado,Consejo de Monumentos Nacionales — carta de apoyo / patrocinio,Consejo de Monumentos Nacionales (CMN),patrocinio,cultural,desconocido,sin fecha fija / contacto directo,"No administra fondo concursable para publicaciones. Puede otorgar patrocinio/carta de apoyo a divulgación patrimonial si el libro se vincula a geositios, Santuarios de la Naturaleza o patrimonio protegido. Sin procedimiento publicado: solicitud directa (oficinadepartes@monumentos.gob.cl).",,,CLP,,,https://www.monumentos.gob.cl/,"[""vínculo a patrimonio/geositios protegidos"", ""solicitud directa""]",42,0,parcial,2026-07-26
MLP-pelambres,catalogo_curado,Fundación Minera Los Pelambres (Antofagasta Minerals),Antofagasta Minerals,auspicio_privado,privado,desconocido,sin fecha fija / contacto directo,Línea 'Educación y Patrimonio' hoy centrada en becas. Encaje plausible solo con anclaje territorial Choapa (Coquimbo). Vía directa. [NO VERIFICADO fondo para libros].,,,CLP,,,https://www.fundacionmlp.cl/,"[""anclaje territorial Choapa"", ""contacto directo""]",40,0,no,2026-07-26
FPA-mma,catalogo_curado,Fondo de Protección Ambiental (FPA) — MMA,Ministerio del Medio Ambiente,divulgacion_ciencia,cultural,desconocido,sin fecha fija / contacto directo,"Rescatado del catálogo del scanner OVDAS. Financia educación ambiental (líneas Establecimientos Educacionales, Pueblos Indígenas, Proyectos Sustentables), hasta ~$21M. NO financia el libro en sí, pero un proyecto de educación ambiental con base geológica (suelo, agua, geopatrimonio, cuidado del entorno) + distribución a escuelas puede entrar VÍA un colegio u organización con personalidad jurídica. [VERIFICAR convocatoria].",1000000,21000000,CLP,,,https://fondos.mma.gob.cl/fpa/,"[""organización/colegio con personalidad jurídica"", ""eje ambiental"", ""vía indirecta (no el autor solo)""]",40,0,parcial,2026-07-26
natgeo-explorer,catalogo_curado,National Geographic — Explorer Grant (Level I),National Geographic Society,internacional,internacional,desconocido,sin fecha fija / contacto directo,Rescatado del catálogo del scanner OVDAS. Grant para profesionales emergentes en ciencias de la Tierra con VOLUNTAD DE DIFUSIÓN PÚBLICA (USD 5.000–20.000). Podría financiar la investigación/exploración y la divulgación detrás del libro (no la edición comercial). El autor geólogo califica por perfil. Postulación en inglés.,5000,20000,USD,,,https://www.nationalgeographic.org/society/grants-and-investments/,"[""ciencias de la Tierra"", ""voluntad de difusión pública"", ""postulación en inglés""]",38,1,parcial,2026-07-26
AGUAS-ANDINAS,catalogo_curado,Fondos Concursables Aguas Andinas,Aguas Andinas,auspicio_privado,privado,desconocido,sin fecha fija / contacto directo,"Para organizaciones de base de 4 comunas RM (Maipú, Pudahuel, Padre Hurtado, Tiltil). Aplica solo con vínculo territorial RM + ángulo hídrico (geología ↔ cuencas), vía organización local. Fechas 2026 [verificar].",,,CLP,,,https://fondosconcursables.aguasandinas.cl/,"[""organización de base de 4 comunas RM"", ""ángulo hídrico""]",33,0,no,2026-07-26
UNESCO-participacion,catalogo_curado,UNESCO — Programa de Participación (vía institución),UNESCO (Comisión Nacional Chilena),internacional,internacional,cerrado,cerró 2026-02-27,No otorga fondos directos a personas naturales. Cofinancia proyectos presentados por el Estado vía Comisión Nacional. Ciclo 2026-27 YA CERRÓ (27-feb-2026); próximo ciclo 2028-29. Requiere institución adoptante. Útil solo como auspicio simbólico.,26000,38000,USD,,2026-02-27,https://www.unesco.org/en/member-states-portal/participation-programme,"[""institución adoptante (universidad/museo/SERNAGEOMIN)""]",25,1,si,2026-07-26
FONDART-regional,catalogo_curado,FONDART Nacional / Regional,MINCAP (Ministerio de las Culturas),edicion,cultural,desconocido,sin fecha fija / contacto directo,RELEVANCIA BAJA. FONDART NO financia la publicación de libros (compete al Fondo del Libro). Solo tangencial para un proyecto de diseño o de ilustración como obra visual desligado de la edición. Incluido para descartar conscientemente.,,,CLP,,,https://www.fondosdecultura.cl/fondos/fondart-nacional/lineas-de-concurso/,"[""proyecto de artes visuales/diseño (no edición de libro)""]",18,0,si,2026-07-26
BID-lab,catalogo_curado,BID / BID Lab,Banco Interamericano de Desarrollo,internacional,internacional,desconocido,sin fecha fija / contacto directo,"NO VIABLE para un autor individual. Financia gobiernos, grandes operaciones y startups tecnológicas escalables. Un libro no califica salvo desnaturalizándolo como plataforma EdTech. Descartar.",,,USD,,,https://bidlab.org/,"[""gobierno o startup tecnológica escalable""]",10,1,si,2026-07-26
